issue_date,issue_time,marked_time,color,location,agency,violation_code,violation_description,fine_amount,latitude,longitude,agency_description,issue_year
2019-06-17,1046.0,,GY,1111 6TH ST W,56.0,88.13B+,METER EXP.,63.0,6482218.958389,1842183.224449,,2019.0
2019-06-05,145.0,,BK,A/F 11753 AYRES AVE,51.0,80.58L,PREFERENTIAL PARKING,68.0,6426446.465382,1833696.482488,,2019.0
2019-05-24,1033.0,,GY,5130 YARMOUTH AVE,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6404281.063203,1882350.947038,,2019.0
2019-02-02,907.0,,WT,737 WASHINGTON BLVD,51.0,80.56E1,WHITE ZONE,58.0,6424028.960701999,1817980.12521,,2019.0
2019-01-03,808.0,,WT,4471 4TH ST W,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6466405.014368,1846964.973522,,2019.0
2019-02-06,1105.0,,WT,1021 KINGSLEY DR N,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6469846.539702,1855022.219005,,2019.0
2019-05-07,834.0,,BL,2718 BARRY AVE,51.0,5204A-,DISPLAY OF TABS,25.0,6428410.516885,1832006.595626,,2019.0
2019-08-15,819.0,,BL,244 23RD ST E,55.0,80.69BS,NO PARK/STREET CLEAN,73.0,6479943.313648,1832977.07659,,2019.0
2019-03-27,902.0,,RD,4288 PERLITA AVE,56.0,80.69BS,NO PARK/STREET CLEAN,73.0,6480645.130864,1870187.069721,,2019.0
2019-07-09,1249.0,,BK,600 107TH ST W,55.0,80.69BS,NO PARK/STREET CLEAN,73.0,6475281.633026999,1800339.525904,,2019.0
2019-07-02,905.0,,GO,8700 SAWYER ST,51.0,5204A-,DISPLAY OF TABS,25.0,6446326.65376,1838383.792909,,2019.0
2019-06-10,516.0,,SL,15000 SUNBURST ST,53.0,80.58L,PREFERENTIAL PARKING,68.0,6422983.685730999,1908010.70335,,2019.0
2019-03-07,1606.0,,BL,801 2ND ST E,56.0,88.13B+,METER EXP.,63.0,6485302.045214,1842821.620546,,2019.0
2019-07-18,1109.0,,WT,12900 RUNWAY ROAD,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6434089.345884,1813472.908253,,2019.0
2019-01-23,1130.0,,SL,1100 12TH ST E,56.0,88.13B+,METER EXP.,63.0,6486599.872039,1833833.695497,,2019.0
2019-02-05,1017.0,,BL,4642 RUSSELL AVE,54.0,88.13B+,METER EXP.,63.0,6473716.727772,1860540.449588,,2019.0
2019-10-07,139.0,,RD,4672 ROSEWOOD AVE W,54.0,22514,FIRE HYDRANT,68.0,6468923.298319,1851268.090675,54 - DOT - HOLLYWOOD,2019.0
2019-05-20,857.0,,GY,506 DEWEY ST,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6417516.104092,1822581.273846,,2019.0
2019-02-28,918.0,,SL,13964 BEAVER ST,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6429638.183658999,1933376.671626,,2019.0
2019-01-26,1147.0,,BL,17806 PLUMMER ST,53.0,21211B,BLK BIKE PATH OR LANE,93.0,6404012.394628,1911269.508621,,2019.0
2019-11-19,1319.0,,WT,301 BOYD ST,56.0,88.13B+,METER EXP.,63.0,6487680.216108,1839646.870176,56 - DOT - CENTRAL,2019.0
2019-03-11,1848.0,,RD,725 WESTLAKE AVE,56.0,5204A-,DISPLAY OF TABS,25.0,6478101.587023,1842708.481922,,2019.0
2019-05-08,1409.0,,GY,1200 WALL ST S,56.0,88.13B+,METER EXP.,63.0,6484304.914573001,1835219.063412,,2019.0
2019-04-17,1357.0,,GN,961 N MANSFIELD AVE,54.0,5204A-,DISPLAY OF TABS,25.0,99999.0,99999.0,,2019.0
2019-06-04,1655.0,,WT,1139 6TH ST W,56.0,80.69AP+,NO STOP/STANDING,93.0,6482075.916821,1842255.655008,,2019.0
2019-06-07,1141.0,,GY,1100 CORNING ST,51.0,5204A-,DISPLAY OF TABS,25.0,6447383.966105999,1843395.38053,,2019.0
2019-03-04,1506.0,,WT,223 6TH ST W,56.0,80.69AA+,NO STOP/STAND,93.0,6485568.001462,1839258.551968,,2019.0
2019-01-28,1214.0,,GY,259 S RENO ST,54.0,8069BS,NO PARK/STREET CLEAN,73.0,6475989.419233,1847567.606668,,2019.0
2019-02-11,1306.0,,WT,1201 5TH ST E,56.0,80.69AP+,NO STOP/STANDING,93.0,6483074.280859,1842164.73166,,2019.0
2019-02-06,809.0,,WT,2962 ST ANDREWS PL S,55.0,80.69BS,NO PARK/STREET CLEAN,73.0,6467118.2901327,1833004.08219855,,2019.0
2019-05-07,2111.0,,BK,728 COCHRAN AVE,51.0,88.64A,TIME LIMIT/CITY LOT,63.0,6456475.884494,1845039.976725,,2019.0
2019-07-15,1138.0,,BK,8900 24TH ST W,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6444993.541859,1836842.929643,,2019.0
